Time,Bps
0,50448
1,49520
2,46208
3,30464
4,16896
5,14864
6,82976
7,45552
8,32144
9,30912
10,42976
11,48064
12,51408
13,27680
14,13680
15,14640
16,14384
17,42768
18,41872
19,28176
20,49520
21,118704
22,49504
23,23936
24,11856
25,14112
26,68480
27,35328
28,37744
29,32832
30,48096
31,48160
32,46224
33,20752
34,366672
35,11328
36,95456
37,55136
38,32720
39,39904
40,45808
41,51904
42,44896
43,17072
44,15936
45,13056
46,17712
47,45696
48,35472
49,48456
50,46840
51,45680
52,121312
53,22608
54,13808
55,13584
56,26464
57,42880
58,32320
59,34544
60,51904
61,45408
62,41056
63,22208
64,14112
65,11328
66,31232
67,111776
68,30832
69,34672
70,43552
71,51904
72,69784
73,57480
74,13584
75,10272
76,31632
77,44736
78,25296
79,27360
80,52592
81,35680
82,118128
83,17696
84,14640
85,13488
86,26960
87,42752
88,29936
89,42496
90,49520
91,41568
92,45744
93,15792
94,11328
95,13584
96,32992
97,107072
98,32192
99,38384
100,49952
101,48160
102,41200
103,17376
104,14112
105,10800
106,188656
107,42352
108,25296
109,41600
110,45776
111,52048
112,110592
113,12912
114,14544
115,14880
116,29904
117,46992
118,22512
119,46768
120,48128
121,43024
122,43984
123,14640
124,11856
125,13056
126,33920
127,45760
128,92960
129,43824
130,49520
131,43456
132,44880
133,12384
134,13584
135,10800
136,44752
137,36880
138,25824
139,42096
140,48064
141,53248
142,34288
143,84560
144,13584
145,10272
146,40912
147,38368
148,31408
149,41024
150,43952
151,49152
152,39616
153,17280
154,14608
155,14352
156,38656
157,43024
158,103840
159,43824
160,43008
161,43824
162,36992
163,13152
164,172072
165,18112
166,46112
167,32240
168,29264
169,55840
170,48624
171,31984
172,30000
173,81776
174,15168
175,14528
176,42768
177,36384
178,26352
179,44336
180,48992
181,51408
182,27648
183,14640
184,15168
185,19296
186,38656
187,40096
188,28336
189,116560
190,46288
191,49952
192,27248
193,14112
194,13584
195,17312
196,44096
197,39200
198,32016
199,44352
200,48592
201,44368
202,26320
203,12000
204,83504
205,25312
206,41392
207,30416
208,29536
209,50576
210,46736
211,48080
212,26320
213,14112
214,11328
215,26736
216,41424
217,34560
218,25392
219,119568
220,51904
221,48608
222,24192
223,12288
224,13056
225,24848
226,47120
227,55328
228,30960
229,45152
230,45680
231,49008
232,21680
233,14112
234,84928
235,32176
236,44864
237,31520
238,41680
239,43824
240,46208
241,44416
242,13680
243,10800
244,16784
245,32160
246,29296
247,32720
248,35712
249,118016
250,50016
251,40672
252,15168
253,14112
254,15056
255,33488
256,52592
257,17840
258,40096
259,48992
260,51408
261,32416
262,15168
263,14112
264,299344
265,36800
266,188080
267,17968
268,46448
269,49056
270,46208
271,39616
272,16656
273,13584
274,16256
275,39584
276,45296
277,23696
278,46304
279,115040
280,43024
281,41200
282,12384
283,13056
284,14000
285,40016
286,45136
287,19824
288,45264
289,45408
290,52320
291,33760
292,14112
293,11328
294,15056
295,113744
296,45424
297,18368
298,41952
299,50576
300,50464
301,31504
302,14112
303,15312
304,14000
305,39184
306,46752
307,22608
308,42480
309,41968
310,120496
311,35664
312,13680
313,13056
314,16784
315,39584
316,46352
317,24464
318,49520
319,41152
320,45600
321,32800
322,11328
323,13056
324,16784
325,113920
326,43008
327,17968
328,49952
329,41520
330,32496
331,38816
332,14112
333,11328
334,16784
335,36800
336,45168
337,20752
338,38240
339,49520
340,47264
341,112464
342,12912
343,16128
344,16352
345,33520
346,46864
347,20752
348,43936
349,42368
350,43424
351,44384
352,12384
353,13584
354,14960
355,29744
356,121584
357,22608
358,38768
359,45808
360,48064
361,42528
362,12816
363,13152
364,12528
365,142400
366,46128
367,87584
368,43840
369,48992
370,46208
371,116816
372,15072
373,14496
374,15728
375,30304
376,48480
377,22208
378,37840
379,46208
380,45808
381,44896
382,16112
383,11760
384,14352
385,24224
386,52720
387,99952
388,33328
389,48064
390,40640
391,44896
392,23408
393,11328
394,14000
395,27024
396,41392
397,37088
398,29488
399,49520
400,51904
401,30912
402,16656
403,82736
404,12624
405,23296
406,50336
407,30464
408,18992
409,40624
410,47136
411,53264
412,27776
413,15168
414,16368
415,16784
416,36800
417,45296
418,94384
419,48192
420,39168
421,34544
422,49552
423,12384
424,14112
425,14960
426,37696
427,34016
428,32032
429,42080
430,44352
431,46736
432,59552
433,80720
434,12528
435,27536
436,39040
437,35664
438,26272
439,51376
440,43296
441,43872
442,25360
443,11760
444,14352
445,14528
446,41440
447,46752
448,92128
449,55104
450,36256
451,42528
452,38912
453,14784
454,10800
455,19584
456,25456
457,42768
458,23984
459,50016
460,49520
461,49536
462,22480
463,15168
464,84032
465,14528
466,47936
467,38288
468,23024
469,40720
470,46208
471,51936
472,29632
473,14640
474,15312
475,12528
476,31248
477,50320
478,24080
479,116656
480,39168
481,40112
482,47168
483,12384
484,12288
485,21936
486,37328
487,33200
488,35232
489,39696
490,47536
491,43840
492,38784
493,15168
494,12384
495,90032
496,31360
497,48592
498,26864
499,29232
500,49664
501,46224
502,43152
503,14640
504,13488
505,15296
506,30976
507,46736
508,30608
509,36480
510,110464
511,38336
512,50064
513,25808
514,13584
515,14000
516,23312
517,43376
518,35664
519,32240
520,45680
521,47648
522,43440
523,21696
524,14112
525,82448
526,24352
527,51376
528,17536
529,40144
530,45152
531,44864
532,48208
533,21168
534,5040
535,12288
536,16352
537,39056
538,41040
539,33360
540,35984
541,115616
542,41952
543,42672
544,12912
545,12384
546,19712
547,33488
548,44624
549,23024
550,53760
551,47648
552,39200
553,28976
554,19696
555,11328
556,83920
557,44752
558,39616
559,21536
560,32272
561,50320
562,48464
563,39344
564,14544
565,15408
566,10272
567,23824
568,54048
569,28192
570,33728
571,41024
572,111472
573,51408
574,17968
575,13584
576,16256
577,19840
578,39696
579,44000
580,26304
581,44368
582,43376
583,40528
584,32832
585,11856
586,13056
587,16784
588,118912
589,39200
590,22224
591,47120
592,41952
593,42128
594,24560
595,14112
596,11328
597,17312
598,44128
599,39696
600,24480
601,44864
602,47120
603,111904
604,35088
605,12384
606,15840
607,14000
608,44752
609,40128
610,24480
611,45792
612,38640
613,47152
614,36944
615,12816
616,13152
617,15856
618,36272
619,118928
620,24480
621,44336
622,47120
623,49008
624,28064
625,14640
626,11328
627,16256
628,40512
629,46272
630,19392
631,33200
632,46496
633,42048
634,113904
635,16544
636,15408
637,16256
638,30304
639,51536
640,23552
641,44864
642,34928
643,35984
644,44368
645,25408
646,11328
647,16256
648,22784
649,39008
650,108848
651,29120
652,47648
653,45664
654,30560
655,39488
656,11856
657,10800
658,17168
659,58448
660,17504
661,19712
662,44208
663,48976
664,48080
665,96384
666,18448
667,14640
668,14528
669,44224
670,43856
671,24480
672,44864
673,35328
674,50864
675,31392
676,14208
677,13584
678,16256
679,33488
680,54592
681,90688
682,44864
683,45264
684,45552
685,33360
686,13056
687,14112
688,17312
689,42768
690,46240
691,23552
692,46880
693,44704
694,41456
695,32688
696,84032
697,11856
698,18640
699,45712
700,45296
701,23008
702,42080
703,46592
704,47552
705,25264
706,13056
707,13056
708,16384
709,48864
710,44544
711,94096
712,43808
713,43280
714,49536
715,23408
716,13584
717,13472
718,23280
719,46608
720,38960
721,30016
722,38768
723,47520
724,48080
725,19824
726,84032
727,14528
728,32160
729,44240
730,35232
731,35328
732,39568
733,42480
734,45696
735,20224
736,11328
737,14000
738,26064
739,46496
740,25104
741,34976
742,118384
743,33808
744,45728
745,19792
746,14640
747,13584
748,28336
749,40912
750,40160
751,29088
752,41024
753,42880
754,47152
755,20224
756,14640
757,82976
758,20624
759,50864
760,42544
761,23952
762,43904
763,41424
764,43840
765,27248
766,14640
767,14112
768,20544
769,40864
770,46656
771,27248
772,114256
773,41952
774,51456
775,23408
776,11856
777,14256
778,26608
779,47952
780,38448
781,23488
782,49504
783,40096
784,47552
785,19296
786,15312
787,81776
788,25680
789,44624
790,41216
791,31904
792,38736
793,47120
794,46224
795,20224
796,11328
797,16256
798,24208
799,50864
800,33776
801,31872
802,118368
803,41056
804,42080
805,18400
806,15936
807,15088
808,30576
809,43712
810,35760
811,31344
812,41952
813,48976
814,40656
815,20224
816,11328
817,16256
818,99424
819,55120
820,26336
821,31344
822,47024
823,41392
824,42112
825,17968
826,15840
827,15056
828,34016
829,24544
830,49232
831,37712
832,40096
833,115712
834,26416
835,20224
836,12384
837,16784
838,31632
839,54064
840,25440
841,40224
842,47648
843,40096
844,39344
845,14640
846,14112
847,14528
848,139152
849,39616
850,41152
851,39568
852,47792
853,36944
854,18368
855,11328
856,16688
857,33056
858,52736
859,22624
860,39296
861,45696
862,113424
863,42128
864,12816
865,15408
866,14528
867,32160
868,43312
869,33376
870,38768
871,40096
872,47120
873,36848
874,19792
875,11328
876,16784
877,33488
878,121232
879,25248
880,34128
881,46592
882,40528
883,38368
884,20224
885,14112
886,14528
887,34016
888,45264
889,30992
890,33104
891,40992
892,48976
893,109776
894,20224
895,11760
896,18080
897,28048
898,53936
899,26768
900,34624
901,46464
902,38768
903,42112
904,20224
905,13584
906,14528
907,26592
908,46496
909,106208
910,35056
911,43808
912,35664
913,38800
914,30352
915,10800
916,18512
917,26720
918,37552
919,32720
920,32800
921,48736
922,40864
923,40256
924,89616
925,14112
926,14528
927,31632
928,45168
929,32624
930,29456
931,47648
932,46592
933,39232
934,19792
935,14112
936,16784
937,33184
938,50752
939,97600
940,38368
941,41056
942,47088
943,40800
944,14640
945,13584
946,14432
947,29744
948,54064
949,24080
950,39696
951,47120
952,43808
953,35088
954,87360
955,13584
956,16256
957,39984
958,48496
959,22368
960,46848
961,40528
962,47120
963,33216
964,14640
965,11328
966,20544
967,39008
968,45840
969,93776
970,42080
971,48448
972,46224
973,27648
974,13488
975,14880
976,14528
977,48464
978,43456
979,21696
980,46192
981,41424
982,49536
983,27648
984,84032
985,10800
986,26608
987,46048
988,41344
989,32544
990,43808
991,46992
992,43040
993,17968
994,11760
995,18608
996,31760
997,51280
998,25808
999,111472
1000,41424
1001,43280
1002,38320
1003,19840
1004,11856
1005,15056
1006,41872
1007,49520
1008,22096
1009,40624
1010,48976
1011,48608
1012,29504
1013,11328
1014,82880
1015,17680
1016,53248
1017,41216
1018,26304
1019,50240
1020,39568
1021,47680
1022,22112
1023,15408
1024,10272
1025,22896
1026,39040
1027,48240
1028,11552
1029,110608
1030,61296
1031,41984
1032,29504
1033,11328
1034,12528
1035,16784
1036,35712
1037,43824
1038,24080
1039,48176
1040,39712
1041,50352
1042,25792
1043,14640
1044,81776
1045,23696
1046,42752
1047,39232
1048,28960
1049,46336
1050,48464
1051,42416
1052,21216
1053,12288
1054,18080
1055,26192
1056,48912
1057,29488
1058,30416
1059,114256
1060,40912
1061,47680
1062,20224
1063,13584
1064,14528
1065,26064
1066,43296
1067,34704
1068,33200
1069,44608
1070,47536
1071,41984
1072,17440
1073,10800
1074,17984
1075,96112
1076,48880
1077,30048
1078,36512
1079,45136
1080,38928
1081,43968
1082,20656
1083,13680
1084,14528
1085,30304
1086,41968
1087,32848
1088,29360
1089,43408
1090,120768
1091,42944
1092,19792
1093,13584
1094,12528
1095,29392
1096,51264
1097,27664
1098,32800
1099,39568
1100,43824
1101,49632
1102,20224
1103,13584
1104,14432
1105,98336
1106,45280
1107,30992
1108,33072
1109,42880
1110,46880
1111,43840
1112,19824
1113,13584
1114,16784
1115,28048
1116,41968
1117,35104
1118,34128
1119,43280
1120,113744
1121,41584
1122,21952
1123,11328
1124,15056
1125,25968
1126,45248
1127,34576
1128,28960
1129,47920
1130,38064
1131,38800
1132,17968
1133,14640
1134,16784
1135,31232
1136,116432
1137,27664
1138,37840
1139,36784
1140,48464
1141,42784
1142,20624
1143,11856
1144,16784
1145,23680
1146,52192
1147,27664
1148,31616
1149,58288
1150,139536
1151,25392
1152,12288
1153,14880
1154,20640
1155,45664
1156,40672
1157,29088
1158,42752
1159,40640
1160,53264
1161,20656
1162,13152
1163,14000
1164,27920
1165,113216
1166,30880
1167,30784
1168,46592
1169,49936
1170,32224
1171,28928
1172,2256
1173,13056
1174,28864
1175,43296
1176,32176
1177,36512
1178,36816
1179,42880
1180,49536
1181,90672
1182,14640
1183,10800
1184,19040
1185,46608
1186,42672
1187,23392
1188,47120
1189,50336
1190,39200
1191,25392
1192,14640
1193,13056
1194,27008
1195,43824
1196,101280
1197,30432
1198,40368
1199,43296
1200,51408
1201,22080
1202,14112
1203,13056
1204,18112
1205,47136
1206,38416
1207,31344
