Time,Bps
0,30272
1,16560
2,13856
3,19608
4,17272
5,36464
6,15768
7,15600
8,18240
9,20904
10,31312
11,19360
12,14776
13,17136
14,18264
15,28344
16,17552
17,13488
18,18848
19,16872
20,32944
21,20640
22,17280
23,17688
24,24936
25,28616
26,19640
27,15104
28,15464
29,20768
30,30320
31,24496
32,11888
33,18632
34,19848
35,49720
36,19216
37,15936
38,19400
39,18904
40,27032
41,22944
42,12928
43,13120
44,23072
45,31120
46,14872
47,18368
48,16408
49,16984
50,26456
51,18496
52,17216
53,16936
54,20656
55,27488
56,20688
57,13496
58,13456
59,24352
60,31368
61,15616
62,14688
63,16168
64,18264
65,31504
66,20320
67,14616
68,15728
69,18736
70,28960
71,20352
72,15512
73,18664
74,20080
75,31072
76,14888
77,18368
78,16448
79,16480
80,33840
81,31208
82,14888
83,16960
84,18848
85,35432
86,21688
87,20536
88,14448
89,21736
90,33288
91,19712
92,17616
93,16552
94,21832
95,32720
96,15792
97,12568
98,1520
99,32336
100,28936
101,25040
102,15312
103,16792
104,25728
105,29808
106,15816
107,18400
108,19992
109,21952
110,30160
111,17616
112,17856
113,15960
114,51496
115,54096
116,30848
117,17112
118,34512
119,29232
120,45576
121,25616
122,25976
123,20872
124,28760
125,35048
126,17800
127,20128
128,18264
129,22200
130,28920
131,20352
132,10896
133,17064
134,26008
135,28568
136,16848
137,17432
138,14600
139,19992
140,26360
141,23424
142,16784
143,16072
144,22840
145,29544
146,21440
147,13952
148,20936
149,21760
150,30104
151,17600
152,18704
153,19128
154,23720
155,31712
156,14344
157,16824
158,18336
159,16960
160,29952
161,23512
162,19944
163,19856
164,20016
165,31032
166,16760
167,12648
168,13424
169,22528
170,34448
171,17552
172,15832
173,17928
174,21088
175,29568
176,28416
177,11056
178,16920
179,22224
180,29208
181,14000
182,18768
183,18664
184,22688
185,30416
186,12912
187,16528
188,18304
189,17960
190,30456
191,20040
192,14848
193,18504
194,23024
195,29112
196,19664
197,18792
198,15912
199,19984
200,31680
201,20176
202,17504
203,17928
204,30504
205,30264
206,23120
207,10416
208,16408
209,21752
210,31832
211,20144
212,15664
213,14512
214,24192
215,22496
216,17824
217,16592
218,25672
219,14304
220,28864
221,21536
222,17280
223,16072
224,21064
225,32168
226,18208
227,17248
228,15440
229,22016
230,31152
231,18568
232,15200
233,17968
234,18952
235,31952
236,21680
237,11576
238,16408
239,24288
240,31616
241,14976
242,17648
243,16120
244,20072
245,29424
246,20368
247,16512
248,20248
249,16784
250,29872
251,20352
252,15840
253,18616
254,21088
255,27616
256,15832
257,17200
258,20016
259,25392
260,32712
261,20688
262,19312
263,17928
264,18728
265,35056
266,19728
267,15112
268,16408
269,21048
270,30008
271,18352
272,18704
273,16872
274,24360
275,29424
276,16832
277,16984
278,19832
279,16704
280,34848
281,25792
282,16352
283,15960
284,19160
285,38080
286,20216
287,18136
288,16536
289,17096
290,34968
291,16656
292,12864
293,19984
294,20344
295,30976
296,15664
297,16584
298,14792
299,22784
300,29360
301,21264
302,19384
303,16504
304,17152
305,30200
306,17176
307,13168
308,15288
309,18792
310,23728
311,19152
312,14328
313,11704
314,21376
315,27880
316,18184
317,15672
318,13656
319,17992
320,31352
321,17944
322,9000
323,26088
324,14552
325,25016
326,15896
327,12920
328,13184
329,22736
330,34000
331,15816
332,13824
333,12976
334,18576
335,43080
336,16240
337,15952
338,15984
339,17816
340,29072
341,19680
342,6264
343,12704
344,23952
345,26160
346,17176
347,14504
348,9808
349,17304
350,33520
351,21232
352,10632
353,18248
354,17992
355,28072
356,12040
357,16008
358,15664
359,21008
360,29416
361,21840
362,15920
363,14968
364,18128
365,33192
366,14112
367,12928
368,14160
369,15320
370,31080
371,22536
372,18840
373,19432
374,22432
375,33192
376,17280
377,18576
378,20200
379,19528
380,33976
381,17568
382,18872
383,15736
384,21120
385,23744
386,20984
387,14032
388,14272
389,18936
390,29280
391,20728
392,14520
393,14032
394,25736
395,35360
396,16120
397,14680
398,19696
399,16160
400,34144
401,24256
402,14240
403,15840
404,25560
405,30480
406,18032
407,18664
408,17768
409,35568
410,35104
411,17904
412,11816
413,19952
414,20216
415,35392
416,22288
417,16624
418,17272
419,21944
420,27648
421,20536
422,15032
423,18288
424,17360
425,31920
426,15016
427,15952
428,19256
429,24120
430,25704
431,22696
432,15144
433,13440
434,22496
435,29536
436,19000
437,11832
438,20088
439,16872
440,39344
441,14832
442,27632
443,18176
444,22008
